Strata,unique_id,LCC,Bgy_Name,Mun_Name,Pro_Name
2,222D2,Dipterocarp Forest Closed,Kasapa_part of Bukidnon,Loreto,AGUSAN DEL SUR
2,223B2,Dipterocarp Forest Closed,Cabangahan,TAGO,SURIGAO DEL SUR
2,223C2,Dipterocarp Forest Closed,Cabangahan,TAGO,SURIGAO DEL SUR
2,223D2,Dipterocarp Forest Closed,Cabangahan,TAGO,SURIGAO DEL SUR
2,224B2,Dipterocarp Forest Closed,Gamut,TAGO,SURIGAO DEL SUR
2,224C2,Dipterocarp Forest Closed,Gamut,TAGO,SURIGAO DEL SUR
2,224D2,Dipterocarp Forest Closed,Gamut,TAGO,SURIGAO DEL SUR
2,225B2,Dipterocarp Forest Closed,Ugoban,TAGBINA,SURIGAO DEL SUR
2,225C2,Dipterocarp Forest Closed,Ugoban,TAGBINA,SURIGAO DEL SUR
2,225D2,Dipterocarp Forest Closed,Ugoban,TAGBINA,SURIGAO DEL SUR
2,226B2,Dipterocarp Forest Closed,Mahagsay,SAN LUIS,AGUSAN DEL SUR
2,226C2,Dipterocarp Forest Closed,Mahagsay,SAN LUIS,AGUSAN DEL SUR
2,226D2,Dipterocarp Forest Closed,Mahagsay,SAN LUIS,AGUSAN DEL SUR
2,227B2,Dipterocarp Forest Closed,Lahi,GIGAQUIT,SURIGAO DEL NORTE
2,227C2,Dipterocarp Forest Closed,Lahi,GIGAQUIT,SURIGAO DEL NORTE
2,227D2,Dipterocarp Forest Closed,Lahi,GIGAQUIT,SURIGAO DEL NORTE
2,228B2,Dipterocarp Forest Closed,San Pedro,LIANGA,SURIGAO DEL SUR
2,228C2,Dipterocarp Forest Closed,San Pedro,LIANGA,SURIGAO DEL SUR
2,228D2,Dipterocarp Forest Closed,San Pedro,LIANGA,SURIGAO DEL SUR
2,229B2,Dipterocarp Forest Closed,Cuyago,JABONGA,AGUSAN DEL NORTE
2,229C2,Dipterocarp Forest Closed,Cuyago,JABONGA,AGUSAN DEL NORTE
2,229D2,Dipterocarp Forest Closed,Cuyago,JABONGA,AGUSAN DEL NORTE
