Strata,unique_id,LCC,Bgy_Name,Mun_Name,Pro_Name
2,295D2,Dipterocarp Forest Closed,Binicalan,SAN LUIS,AGUSAN DEL SUR
2,296B2,Dipterocarp Forest Closed,Poblacion,LIANGA,SURIGAO DEL SUR
2,296C2,Dipterocarp Forest Closed,Poblacion,LIANGA,SURIGAO DEL SUR
2,297B2,Dipterocarp Forest Closed,Sico-sico,GIGAQUIT,SURIGAO DEL NORTE
2,297C2,Dipterocarp Forest Closed,Sico-sico,GIGAQUIT,SURIGAO DEL NORTE
2,297D2,Dipterocarp Forest Closed,Sico-sico,GIGAQUIT,SURIGAO DEL NORTE
2,298B2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
2,298C2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
2,298D2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
2,299B2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
2,299C2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
