"code_family","family","scientific_name","local_name","code_species","corrected_genus","wood_density"
NA,"","Kleinhovia hospita","Tan - ag",183,"Kleinhovia",0.608901846878946
NA,"","Symplocos cochinchinensis","Agosip",310,"Symplocos",0.608901846878946
NA,"","Gonystylus macrophyllus","Lanutan - baguio",159,"Gonystylus",0.608901846878946
NA,"","Colona serratifolia","Anilao",79,"Colona",0.608901846878946
NA,"","Diplodiscus paniculatus","Balobo",104,"Diplodiscus",0.608901846878946
NA,"","Trema orientalis","Anabiong",330,"Trema",0.608901846878946
NA,"","Celtis luzonica","Magabuyo",71,"Celtis",0.608901846878946
NA,"","Celtis philippensis","Malaikmo",72,"Celtis",0.608901846878946
NA,"","Dendrocnide meyeniana","Lipang - kalabaw",92,"Dendrocnide",0.608901846878946
NA,"","Xanthophyllum flavescens","Bokbok",347,"Xanthophyllum",0.608901846878946
